date1,state,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
19/05/2020,Telangana,1597,562,1000,35,2159
20/05/2020,Telangana,1634,586,1010,38,2220
21/05/2020,Telangana,1661,606,1015,40,2267
22/05/2020,Telangana,1699,619,1035,45,2318
23/05/2020,Telangana,1761,673,1043,45,2434
24/05/2020,Telangana,1813,699,1065,49,2512
25/05/2020,Telangana,1854,711,1090,53,2565
26/05/2020,Telangana,1920,700,1164,56,2620
27/05/2020,Telangana,1991,650,1284,57,2641
28/05/2020,Telangana,2098,751,1284,63,2849
29/05/2020,Telangana,2256,844,1345,67,3100
30/05/2020,Telangana,2425,973,1381,71,3398
31/05/2020,Telangana,2499,1010,1412,77,3509
01/06/2020,Telangana,2698,1188,1428,82,3886
02/06/2020,Telangana,2792,1213,1491,88,4005
03/06/2020,Telangana,2891,1273,1526,92,4164
04/06/2020,Telangana,3020,1365,1556,99,4385
05/06/2020,Telangana,3147,1455,1587,105,4602
06/06/2020,Telangana,3290,1550,1627,113,4840
07/06/2020,Telangana,3496,1663,1710,123,5159
08/06/2020,Telangana,3580,1747,1710,123,5327
09/06/2020,Telangana,3650,1803,1710,137,5453
10/06/2020,Telangana,3920,1963,1809,148,5883
11/06/2020,Telangana,4111,2138,1817,156,6249
12/06/2020,Telangana,4320,2162,1993,165,6482
13/06/2020,Telangana,4484,2032,2278,174,6516
14/06/2020,Telangana,4737,2203,2352,182,6940
15/06/2020,Telangana,4974,2412,2377,185,7386
16/06/2020,Telangana,5193,2240,2766,187,7433
17/06/2020,Telangana,5406,2188,3027,191,7594
18/06/2020,Telangana,5675,2412,3071,192,8087
19/06/2020,Telangana,6027,2531,3301,195,8558
20/06/2020,Telangana,6526,2975,3353,198,9501
21/06/2020,Telangana,7072,3363,3506,203,10435
22/06/2020,Telangana,7802,3861,3731,210,11663
23/06/2020,Telangana,8674,4452,4005,217,13126
24/06/2020,Telangana,9553,5109,4224,220,14662
25/06/2020,Telangana,10444,5858,4361,225,16302
26/06/2020,Telangana,11364,6446,4688,230,17810
27/06/2020,Telangana,12349,7346,4766,237,19695
28/06/2020,Telangana,13436,8265,4928,243,21701
29/06/2020,Telangana,14419,9000,5172,247,23419
30/06/2020,Telangana,15394,9559,5582,253,24953
07/04/2020,Tripura,1,1,0,0,2
08/04/2020,Tripura,1,1,0,0,2
09/04/2020,Tripura,1,1,0,0,2
10/04/2020,Tripura,1,1,0,0,2
11/04/2020,Tripura,1,1,0,0,2
12/04/2020,Tripura,2,2,0,0,4
13/04/2020,Tripura,2,2,0,0,4
14/04/2020,Tripura,2,2,0,0,4
15/04/2020,Tripura,2,2,0,0,4
16/04/2020,Tripura,2,1,1,0,3
17/04/2020,Tripura,2,1,1,0,3
18/04/2020,Tripura,2,1,1,0,3
19/04/2020,Tripura,2,1,1,0,3
20/04/2020,Tripura,2,1,1,0,3
21/04/2020,Tripura,2,1,1,0,3
22/04/2020,Tripura,2,1,1,0,3
23/04/2020,Tripura,2,1,1,0,3
24/04/2020,Tripura,2,1,1,0,3
25/04/2020,Tripura,2,1,1,0,3
26/04/2020,Tripura,2,0,2,0,2
27/04/2020,Tripura,2,0,2,0,2
28/04/2020,Tripura,2,0,2,0,2
29/04/2020,Tripura,2,0,2,0,2
30/04/2020,Tripura,2,0,2,0,2
01/05/2020,Tripura,2,0,2,0,2
02/05/2020,Tripura,2,0,2,0,2
03/05/2020,Tripura,4,2,2,0,6
04/05/2020,Tripura,16,14,2,0,30
05/05/2020,Tripura,29,27,2,0,56
